DISTRICT_CODE,DISTRICT_NAME,OS_P_200304,OS_P_200405,OS_P_200506,OS_P_200607,OS_P_200708,OS_P_200809,OS_P_200910,OS_P_201011,OS_P_201112,OS_P_201213,OS_P_201314,PT_P_200304,PT_P_200405,PT_P_200506,PT_P_200607,PT_P_200708,PT_P_200809,PT_P_200910,PT_P_201011,PT_P_201112,PT_P_201213,PT_P_201314,TB_P_200304,TB_P_200405,TB_P_200506,TB_P_200607,TB_P_200708,TB_P_200809,TB_P_200910,TB_P_201011,TB_P_201112,TB_P_201213,TB_P_201314,SC_P_200304,SC_P_200405,SC_P_200506,SC_P_200607,SC_P_200708,SC_P_200809,SC_P_200910,SC_P_201011,SC_P_201112,SC_P_201213,SC_P_201314,dbID_1,OS_A_200304,OS_A_200405,OS_A_200506,OS_A_200607,OS_A_200708,OS_A_200809,OS_A_200910,OS_A_201011,OS_A_201112,OS_A_201213,OS_A_201314,PT_A_200304,PT_A_200405,PT_A_200506,PT_A_200607,PT_A_200708,PT_A_200809,PT_A_200910,PT_A_201011,PT_A_201112,PT_A_201213,PT_A_201314,TB_A_200304,TB_A_200405,TB_A_200506,TB_A_200607,TB_A_200708,TB_A_200809,TB_A_200910,TB_A_201011,TB_A_201112,TB_A_201213,TB_A_201314,SC_A_200304,SC_A_200405,SC_A_200506,SC_A_200607,SC_A_200708,SC_A_200809,SC_A_200910,SC_A_201011,SC_A_201112,SC_A_201213,SC_A_201314,dbID_12,dbName_12,OS_Y_200304,OS_Y_200405,OS_Y_200506,OS_Y_200607,OS_Y_200708,OS_Y_200809,OS_Y_200910,OS_Y_201011,OS_Y_201112,OS_Y_201213,OS_Y_201314,PT_Y_200304,PT_Y_200405,PT_Y_200506,PT_Y_200607,PT_Y_200708,PT_Y_200809,PT_Y_200910,PT_Y_201011,PT_Y_201112,PT_Y_201213,PT_Y_201314,TB_Y_200304,TB_Y_200405,TB_Y_200506,TB_Y_200607,TB_Y_200708,TB_Y_200809,TB_Y_200910,TB_Y_201011,TB_Y_201112,TB_Y_201213,TB_Y_201314,SC_Y_200304,SC_Y_200405,SC_Y_200506,SC_Y_200607,SC_Y_200708,SC_Y_200809,SC_Y_200910,SC_Y_201011,SC_Y_201112,SC_Y_201213,SC_Y_201314
1,Taplejung,500,427,415,490,410,390,452,452,627,607,627,37250,41047.65,41205,41200,41200,41406,41426,41426,42437,44623,44603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,1,502,500,332,490,502,502,502,502,564,564,564,3750,3735,3615,3615,3615,3633,3615,3615,3615,3690,3690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,Taplejung,996.02,854,1250,976.1,816.73,776.89,900.4,900.4,1111.7,1076,1111.7,9933.33,10990,11398.34,11396.96,11396.96,11397.19,11459.47,11459.47,11739.14,12092.95,12087.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8428.57,0,0,0
2,Panchthar,303,374,374,378,378,420,420,515,512,616,549.7,50297,54820.5,54820.5,55100,55100,55097,56456.4,56456,56456,24951.6,26012.9,0,0,0,0,0,0,0,0,0,0,0,3082,0,0,0,0,0,0,1260,1197,1162,1161.8,2,405,500,500,378,505,560,560,620,622,700,670,4665,4767,4767,4792,4792,4816,4935,4935,1830,1927,1963,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,40,38,37,37,2,Panchthar,748.15,748,748,748.51,748.51,750,750,830.65,823.15,880,820.45,10781.78,11500,11500,11498.33,11498.33,11440.41,11440,11439.92,13179.78,12948.42,13251.6,0,0,0,0,0,0,0,0,0,0,0,46696.97,0,0,0,0,0,0,31500,31500,31405.41,31400
3,Ilam,530,600,600,682,636,636,750,780,700,780,858,60680,64612,64612,53910,53910,87280,87280,87280,90950,91749,91749,0,0,0,0,0,0,0,0,0,0,0,460,0,0,170,470,470,470,490,490,500,390,3,650,650,650,682,775,775,780,780,780,780,858,5600,4751,4751,5043,5043,6800,6800,6700,6815,6815,6815,0,0,0,0,0,0,0,0,0,0,0,10,0,0,13,13,13,13,13,13,13,13,3,Ilam,815.38,923.08,923.08,909.33,820.65,820.65,961.54,1000,897.44,1000,1000,10835.71,13599.66,13599.66,10690.07,10690.07,12835.29,12835.29,13026.87,13345.56,13462.8,13462.8,0,0,0,0,0,0,0,0,0,0,0,46000,0,0,13076.92,36153.85,36153.85,36153.85,37692.31,37692.31,38461.54,30000
4,Jhapa,3087,2979,1800,2800,2800,2750,2750,3450,3852.4,3156,4228,90170,108000,147025,148050,148050,216000,155250,125000,163820,198100,213295,350,12,12,9,9,9,8.78,3,2,2,1.02,2825,2907,5200,4550,3920,3920,3920,5460,6500,5824,5600,4,3087,3090,4000,2800,3250,3250,3250,3450,3500,3297,3475,7100,8000,10150,10500,10500,12600,11500,9100,10140,10150,14710,400,15,15,12,12,12,11.63,4,3,3,1.7,113,114,200,130,140,140,140,195,205,208,200,4,Jhapa,1000,964.08,450,777.78,861.54,846.15,846.15,1000,1100.69,957.23,1216.69,12700,13500,14485.22,14100,14100,17142.86,13500,13736.26,16155.82,19517.24,14500,875,800,800,750,750,750,755.42,750,0,666.67,600,25000,25500,26000,35000,28000,28000,28000,28000,28000,28000,28000
5,Sankhuwasabha,450,450,402,540,540,574,580,515,540,376,461.25,28900,28900,33900,33020,33020,33186,31712,33500,39228,37089,39367,0,0,0,0,0,0,0,0,0,0,0,950,600,600,395,650,650,650,490,2100,2100,0,5,625,625,575,540,675,675,695,635,635,440,540,3055,3055,3055,3070,3070,3085,3075,3075,3147,3092,3130,0,0,0,0,0,0,0,0,0,0,0,95,80,80,70,70,70,70,70,70,70,0,5,Sankhuwasabha,720,720,699.13,800,800,850.37,834.53,811.02,850.39,854.55,854.17,9459.9,9459.9,11096.56,10755.7,10755.7,10757.21,10312.85,10894.31,12465.2,11995.15,12577.32,0,0,0,0,0,0,0,0,0,0,0,10000,7500,7500,5642.86,9285.71,9285.71,9285.71,7000,7000,30000,0
6,Bhojpur,349,204,270,221,221,221,186.9,159,187,402,219,24080,26142,27150,30120,30650,30648,32100,33100,33100,30075,36755,0,0,0,0,0,0,0,9,0,0,12,0,0,0,0,0,0,0,126,0,0,80,6,356,227,348,221,276,276,267,227,267,317,283,2361,2561,2561,2510,2850,2864,3000,3000,5025,3300,3200,0,0,0,0,0,0,0,12,0,0,14,0,0,0,0,0,0,0,15,0,0,0,6,Bhojpur,980.34,898.68,775.86,800.72,800.72,800.72,700,700.44,700.37,1268.14,773.85,10199.07,10207.73,10601.33,12000,10754.39,10701.12,10700,11033.33,11439.8,9113.64,11485.94,0,0,0,0,0,0,0,750,0,0,857.14,0,0,0,0,0,0,0,8400,0,0,#VALUE!
7,Dhankuta,963,960,405,805,805,740,813,661,631.9,661,627.5,20515,22719,32719,27760,27760,32475,33412,33412,36460,33995,33640,0,0,0,0,0,0,0,0,0,0,0,240,260,840,800,800,800,800,800,800,800,880,7,1070,1070,1074,805,1074,948,1050,1035,1062,1057,1000,1790,1983,1983,1983,1983,2010,2025,2025,2048,2053,2050,0,0,0,0,0,0,0,0,0,0,0,12,13,42,41,41,41,41,40,40,40,45,7,Dhankuta,900,897.2,377.09,749.53,749.53,780.59,774.29,638.65,595.01,625.35,627.5,11460.89,11456.88,16499.75,13998.99,13998.99,16156.72,16499.75,16499.75,17802.73,16558.69,16409.76,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,19512.2,19512.2,19512.2,19512.2,20000,20000,20000,19556
8,Tehrathum,136,250,250,175,175,240,240,280,296.1,410,296,22900,22928.4,23900,28600,32160,27308.8,27308.8,27309,30880,33062.5,33695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,300,8,275,280,280,175,290,325,325,440,450,455,450,2291,2316,2316,2400,2665,2720,2720,2725,2780,2835,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,8,Tehrathum,494.55,892.86,892.86,603.45,603.45,738.46,738.46,636.36,658,901.1,657.78,9995.64,9900,10319.52,11916.67,12067.54,10040,10040,10021.65,11107.91,11662.26,11699.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,25000
9,Morang,3180,3892,6407,6600,5136,5136,5136,13425,12470,10203,11223,60701,63750,75092,59890,59890,62310,62205,68700,68700,86250,59850,60,60,60,60,60,60,58.56,0,0,0,0,67620,67830,69275,77280,83880,83880,83880,133980,141900,149500,162400,9,5870,6965,6965,6600,7360,7360,7360,13220,13250,11410,12375,5101,5100,5310,5300,5300,5406,5670,5670,5750,5750,5700,70,70,70,70,70,70,67.83,0,0,0,0,1610,1615,1630,1840,1855,1855,1855,2030,2150,2250,2320,9,Morang,541.74,558.79,919.89,926.32,697.83,697.83,697.83,1015.51,941.13,894.22,906.91,11899.82,12500,14141.62,11300,11300,11526.08,10970.9,12116.4,1917.39,15000,10500,857.14,857.14,857.14,857.14,857.14,857.14,863.33,0,0,0,0,42000,42000,42500,42000,45218.33,45218.33,45218.33,66000,66000,66444.44,70000
10,Sunsari,1400,5000,5000,4400,4440,4440,7013,7141,6762,6445,6757.77,42500,50750,50750,51100,53360,40673,40673,40673,33860,36610,58500,90,90,90,90,90,90,87.84,77,69,45,45,101500,140000,140000,135000,135000,135000,168000,175455,185130,190540,187182,10,4000,5500,5500,4400,5550,5550,8500,8510,8487,8489,8624.96,3000,3500,3500,3650,3680,2750,2750,2750,2510,2820,4500,100,100,100,100,100,100,96.9,86,76,76,50,1850,2500,2500,2500,2500,2500,3000,3150,3300,3350,3365,10,Sunsari,350,909.09,909.09,800,800,800,825.06,839.13,796.75,759.22,783.51,14166.67,14500,14500,14000,14500,14790.18,14790.18,14790.18,13490.04,12982.27,13000,900,900,900,900,900,900,906.5,895.35,0,592.11,900,54864.86,56000,56000,54000,54000,54000,56000,55700,55700,56877.61,55626
11,Solukhumbu,78,80,220,220,220,220,88.4,105,107.57,108,107.75,30300,30300,40500,40500,40500,151639.5,149681,149681,153723,153724,153747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,11,106,100,315,220,315,315,221,175,177.3,178,177.5,3855,3855,3855,3855,3855,10138,10141,10100,10143,10143,10144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,Solukhumbu,735.85,800,698.41,698.41,698.41,698.41,400,600,606.71,606.74,607.04,7859.92,7859.92,10505.84,10505.84,10505.84,14957.54,14759.98,14819.9,15155.58,15155.67,15156.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0
12,Okhaldhunga,220,340,388,348,348,250,250,249,255,308,284.3,20045,34562,33370,33370,33370,33369,31237.5,31238,31164,31164,37336,0,0,0,0,0,0,0,15,14,7,13,0,41,40,40,40,40,40,40,40,43,43,12,350,425,485,348,435,476,476,499,511,526,559,2655,2765,2790,2795,2795,2809,2905,2905,2940,2940,3340,0,0,0,0,0,0,0,12,12,14,31,0,5,5,5,5,5,5,5,5,5,5,12,Okhaldhunga,628.57,800,800,800,800,525.21,525.21,499,499.02,585.55,508.59,7549.91,12499.82,11960.57,11939.18,11939.18,11879.32,10753.01,10753.18,10600,10600,11178.44,0,0,0,0,0,0,0,1250,0,500,419.35,0,0,0,0,0,0,8000,8000,8000,8600,8600
13,Khotang,570,888,740,620,620,620,743,731,1987.5,2025,2110.2,14500,21420,22500,22020,22020,54000,89750,89850,70750,54750,69600,0,0,0,0,0,0,0,0,12,8,16.5,0,108,144,144,144,144,144,116,227,227,227,13,875,900,1000,620,850,850,1050,1100,2201,2212,2312,1630,1700,1750,1820,1820,5400,5800,5800,6000,6000,6250,0,0,0,0,0,0,0,0,11,15,15,0,6,8,8,8,8,8,12,13,13,13,13,Khotang,651.43,986.67,740,729.41,729.41,729.41,707.62,664.55,903,915.46,912.72,8895.71,12600,12857.14,12098.9,12098.9,10000,15474.14,15491.38,11791.67,9125,11136,0,0,0,0,0,0,0,0,0,533.33,1100,0,0,0,0,0,0,18000,9666.67,17461.54,17461.54,17462
14,Udayapur,3655,4258,4258,3561,3640,3640,2996,3321,3565,3656,3881.03,6781,5508,7500,7740,7175,7175,7546,8500,10792,8233,8364,0,13,13,11,11,11,10.74,9.1,12,6,65,224,224,224,224,224,224,224,224,0,0,32.64,14,4948,5082,5082,3561,5092,5092,5100,5109,5157,5169,5181,692,540,640,705,720,724,760,765,862,740,750,0,15,15,14,14,14,13.57,13,13,10,10,14,14,14,14,14,14,14,14,0,0,10.2,14,Udayapur,738.68,837.86,837.86,720.85,714.85,714.85,587.45,650.03,691.29,707.29,749.09,9799.13,10200,11718.75,10978.72,9965.28,9910.22,9928.95,11111.11,12519.72,11125.68,11152,0,866.67,866.67,785.71,785.71,785.71,791.39,700,0,600,6500,16000,16000,16000,16000,16000,16000,16000,16000,0,0,3200
15,Saptari,3577,4950,4950,3250,3230,3230,3230,3140,3440,3100,3135,57063,64462.5,64462.5,64462.5,65200,88000,88245,88245,62904,62904,71757,70,70,70,70,70,70,68.32,1,0,0,0,1500,1500,1500,2500,2500,2500,2500,1500,1600,0,1000,15,5110,6250,6250,3250,5900,5900,5900,4000,4200,4200,4250,4150,4775,4775,4775,5020,5500,5550,5550,5150,5150,5565,80,80,80,80,80,80,77.52,1,0,0,0,50,50,50,60,60,60,60,50,40,0,50,15,Saptari,700,792,792,550.85,547.46,547.46,547.46,785,819.05,738.1,737.65,13750.12,13500,13500,13500,12988.05,16000,15900,15900,12214.37,12214.37,12894.34,875,875,875,875,875,875,881.32,1000,0,0,0,30000,30000,30000,41666.67,41666.67,41666.67,41666.67,30000,30000,0,20000
16,Siraha,283,960,760,700,700,700,700,2500,2361,1719,2076.4,12600,15420,18700,16500,16500,18180,18180,18180,19380,24700,24700,570,630,630,630,630,600,585.6,0,72,60,52.5,81900,81900,82125,82125,82125,82125,83125,81000,83250,87845,95590,16,550,1640,1500,700,1400,1400,1400,6655,6655,6595,6520,1200,1468,1500,1500,1500,1515,1515,1515,1615,1900,1900,700,700,700,700,700,600,581.4,0,90,85,70,1750,1800,1825,1825,1825,1825,1825,1800,1850,1900,2100,16,Siraha,514.55,585.37,506.67,500,500,500,500,375.66,354.77,260.65,318.47,10500,10504.09,12466.67,11000,11000,12000,12000,12000,12000,13000,13000,814.29,900,900,900,900,1000,1007.22,0,0,705.88,750,10714.29,45500,45000,45000,45000,45000,45547.95,45000,45000,46234.21,45519
17,Dolakha,280,242,242,242,242,242,267,255,260.4,265,253.8,20226,20226,26550,26550,26550,27004,27004,28600,27004,32775,36000,0,0,0,0,0,0,0,0,0,0,0,154,154,154,154,154,154,57,60,203,60,0,17,310,275,275,242,275,275,295,291,300,305,317,2445,2445,2445,2445,2445,2505,2505,2550,2505,2850,3000,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,4,4,5,5,0,17,Dolakha,903.23,880,880,880,880,880,905.08,876.29,868,868.85,800.63,8272.39,8272.39,10858.9,10858.9,10858.9,10780.04,10780.04,11215.69,10780.04,11500,12000,0,0,0,0,0,0,0,0,0,0,0,14000,14000,14000,14000,14000,14000,14250,15000,15000,12000,0
18,Ramechhap,120,335,309,297,297,380,400,256,296,668,649.37,26600,25248,32000,30430,30430,33440,29260,31300,32903,28605,32598,0,0,0,0,0,0,0,0,0,0,0,700,700,700,700,700,700,0,14,0,0,0,18,250,350,435,297,349,400,500,501,501,500,813.2,2665,2735,3035,3040,3040,3040,3040,3040,3050,3054,3070,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,40,40,0,2,0,0,0,18,Ramechhap,480,957.14,710.34,851,851,950,800,510.98,590.82,1336,798.54,9981.24,9231.44,10543.66,10009.87,10009.87,11000,9625,10296.05,10787.87,9366.4,10618.24,0,0,0,0,0,0,0,0,0,0,0,17500,17500,17500,17500,17500,17500,0,7000,0,0,0
19,Sindhuli,4718,5031,4436,4756,4756,4756,5396,5169,4904,4708,5868.7,14750,17525,16544,15950,15950,15250,14550,17700,17500,17560,18200,0,0,0,0,0,0,0,0,0,0,0,2800,2800,2800,1800,1800,1800,0,56,490,625,675,19,5700,5710,5545,4756,5530,5530,5691,5496,5492,5506,5621,1250,1525,1528,1538,1538,1605,1700,1700,1750,1820,1820,0,0,0,0,0,0,0,0,0,0,0,80,80,80,80,80,80,0,12,11,12,15,19,Sindhuli,827.72,881.09,800,860.04,860.04,860.04,948.16,940.5,892.94,855.07,1044.07,11800,11491.8,10827.23,10370.61,10370.61,1200,8558.82,10411.76,10000,9648.35,10000,0,0,0,0,0,0,0,0,0,0,0,35000,35000,35000,22500,22500,22500,0,4666.67,4666.67,52083.33,45000
20,Dhanusa,3245,2562,3190,2175,2200,2200,2100,4425,2006,2180,2006,20350,21488,25450,25000,25800,20750,32532,32532,30225,30225,28330,596,596,465,465,450,450,439.2,300,425,420,100,110050,110050,117150,119700,119700,120800,137150,136420,151410,152320,151410,20,2950,2875,2900,2175,2975,2975,3000,2885,3402,3055,3373,1850,1910,1950,2000,2070,2075,2275,2275,2325,2325,2325,510,510,400,400,390,380,368.22,300,300,250,100,3100,3100,3300,3300,3405,3100,3400,3590,3605,3605,3605,20,Dhanusa,1100,891.13,1100,887.76,739.5,739.5,700,1533.8,589.65,713.58,594.72,11000,11250.26,13051.28,12500,12463.77,10000,14299.78,14299.78,13000,13000,12184.95,1168.63,1168.63,1162.5,1162.5,1153.85,1184.21,1192.77,1000,0,1680,1000,35500,35500,35500,36272.73,35154.19,38967.74,40338.24,38000,38000,42252.43,42000
21,Mahottari,2170,2170,2170,2300,2550,2550,2000,2078,2676,2676,2314,32004,32000,39500,39500,43605,51051,38137,38137,41180,41180,44180,430,430,430,370,380,375,366,50,50,55,0,108800,108800,108800,108800,112000,118280,217995,210000,260250,275350,268800,21,2750,2750,2750,2300,2900,2900,3000,2967,3115,3115,3135,3100,3100,3100,3100,3420,4862,3467,3467,3550,3550,3550,420,420,420,370,340,335,324.62,33,33,48,0,3400,3400,3400,3400,3500,3000,5000,5600,6500,6500,7000,21,Mahottari,789.09,789.09,789.09,920,879.31,879.31,666.67,700.37,859.07,859.07,738.12,10323.87,10322.58,12741.94,12741.94,12750,10500,11000,11000,11600,11600,12445.07,1023.81,1023.81,1023.81,1000,1117.65,1119.4,1127.49,1515.15,0,1145.83,0,32000,32000,32000,32000,32000,39426.67,43599,37500,400384.62,42361.54,38400
22,Sarlahi,3715,3531.6,4390,3502,3000,3000,6283,6460,4638,6497,5327,19690,16875,19762,19702,19702,20499,21180,21180,19980,19980,19390,759,759,577,577,577,500,488,300,100,130,250,381470,381470,433600,488700,478400,475200,759500,769500,769500,836200,1129500,22,3665,3924,4085,3502,3585,3585,6100,6100,6100,6210,6170,1505,1250,1275,1275,1275,1301,1500,1500,1350,1350,1385,690,690,525,525,525,500,484.5,300,100,100,250,9566,9566,11080,12080,12000,11500,16100,17100,17100,18500,22500,22,Sarlahi,1013.64,900,1074.66,976.85,836.82,836.82,1030,1059.02,760.33,1046.22,863.37,13083.06,13500,15499.61,15452.55,15452.55,15756.34,14120,14120,14800,14800,14000,1100,1100,1099.05,1099.05,1099.05,1000,1007.22,1000,0,1300,1000,39877.69,39877.69,39133.57,40455.3,39866.67,41321.74,47173.91,45000,45000,45200,50200
