DISTRICT_CODE,DISTRICT_NAME,OS_P_200304,OS_P_200405,OS_P_200506,OS_P_200607,OS_P_200708,OS_P_200809,OS_P_200910,OS_P_201011,OS_P_201112,OS_P_201213,OS_P_201314,PT_P_200304,PT_P_200405,PT_P_200506,PT_P_200607,PT_P_200708,PT_P_200809,PT_P_200910,PT_P_201011,PT_P_201112,PT_P_201213,PT_P_201314,TB_P_200304,TB_P_200405,TB_P_200506,TB_P_200607,TB_P_200708,TB_P_200809,TB_P_200910,TB_P_201011,TB_P_201112,TB_P_201213,TB_P_201314,SC_P_200304,SC_P_200405,SC_P_200506,SC_P_200607,SC_P_200708,SC_P_200809,SC_P_200910,SC_P_201011,SC_P_201112,SC_P_201213,SC_P_201314,dbID_1,OS_A_200304,OS_A_200405,OS_A_200506,OS_A_200607,OS_A_200708,OS_A_200809,OS_A_200910,OS_A_201011,OS_A_201112,OS_A_201213,OS_A_201314,PT_A_200304,PT_A_200405,PT_A_200506,PT_A_200607,PT_A_200708,PT_A_200809,PT_A_200910,PT_A_201011,PT_A_201112,PT_A_201213,PT_A_201314,TB_A_200304,TB_A_200405,TB_A_200506,TB_A_200607,TB_A_200708,TB_A_200809,TB_A_200910,TB_A_201011,TB_A_201112,TB_A_201213,TB_A_201314,SC_A_200304,SC_A_200405,SC_A_200506,SC_A_200607,SC_A_200708,SC_A_200809,SC_A_200910,SC_A_201011,SC_A_201112,SC_A_201213,SC_A_201314,dbID_12,dbName_12,OS_Y_200304,OS_Y_200405,OS_Y_200506,OS_Y_200607,OS_Y_200708,OS_Y_200809,OS_Y_200910,OS_Y_201011,OS_Y_201112,OS_Y_201213,OS_Y_201314,PT_Y_200304,PT_Y_200405,PT_Y_200506,PT_Y_200607,PT_Y_200708,PT_Y_200809,PT_Y_200910,PT_Y_201011,PT_Y_201112,PT_Y_201213,PT_Y_201314,TB_Y_200304,TB_Y_200405,TB_Y_200506,TB_Y_200607,TB_Y_200708,TB_Y_200809,TB_Y_200910,TB_Y_201011,TB_Y_201112,TB_Y_201213,TB_Y_201314,SC_Y_200304,SC_Y_200405,SC_Y_200506,SC_Y_200607,SC_Y_200708,SC_Y_200809,SC_Y_200910,SC_Y_201011,SC_Y_201112,SC_Y_201213,SC_Y_201314
48,Mustang,25,31,31,30,25,15,25,25,25,25,25,2240,2330,2330,2308,2308,3200,3210,3210,3200,3200,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,25,35,35,30,30,30,30,30,30,30,30,225,232,232,232,232,240,250,250,250,350,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,Mustang,1000,885.71,885.71,857.14,833.33,500,833,833.33,833.33,833.33,833.33,9955.56,10043.1,10043.1,9948.28,9948.28,13333.33,12840,12840,12800,9142.86,9142.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Myagdi,80,500,500,176,16,160,183,202,302,302,241.29,10050,10600,17600,16160,16160,16330,16191,16191,18989,18989,16451,0,0,0,0,0,0,0,0,0,0,0,340,340,340,340,340,340,374.37,374,375,576,159.25,49,115,650,650,176,20,200,227,235,323,323,254.95,1560,1600,1600,1550,1550,1560,1560,1565,1580,1580,1605,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,21,21,21,21,3.5,49,Myagdi,695.65,769.23,769.23,800,800,800,806.17,859.57,934.98,934.98,946.42,6442.31,6625,11000,10425.81,10425.81,10467.95,10378.85,10345.69,12018.35,12018.35,10249.84,0,0,0,0,0,0,0,0,0,0,0,17000,17000,17000,17000,17000,17000,17829.03,17809.52,17809.52,27428.57,45500
50,Parbat,246,246,246,231,231,231,244,249,240.95,269,283.66,14140,14140,16140,14520,14520,14664,21136,21136,21602,23190,23190,0,0,0,0,0,0,0,0,0,0,0,160,160,160,160,160,160,176.18,176,340,545,0,50,285,285,285,231,304,304,331.73,337,317,339,352,1443,1443,1443,1452,1452,1474,1510,1510,1516,1778,1778,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10.5,10,10,10,0,50,Parbat,863.16,863.16,863.16,759.87,759.87,759.87,735.54,738.87,760.09,793.51,805.85,9799.03,9799.03,11185.03,10000,10000,9948.44,13997.35,13997.35,14249.34,13042.74,13042.74,0,0,0,0,0,0,0,0,0,0,0,16000,16000,16000,16000,16000,16000,16780.26,17600,17600,54500,0
51,Baglung,684,584,550,705,706,542,595,726,732,573,742,13050,13050,14375,15332,15332,15484,19899,19899,18302,17068,17148,0,0,0,0,0,0,0,0,0,0,0,0,0,700,700,700,700,770.77,770,125,140,0,51,732,732,795,705,862,847,850,855,862,790,873,1270,1270,1025,1116,1116,1133,1327,1327,1397,1427,1432,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,52.5,52,3,3,0,51,Baglung,934.43,797.81,691.82,819.77,819.03,639.91,700,849.12,849.19,725.32,849.94,10275.59,10275.59,14024.39,13738.35,13738.35,13666.37,14995.48,14995.48,13100.93,11960.76,11974.86,0,0,0,0,0,0,0,0,0,0,0,0,0,14000,14000,14000,14000,14682.73,14807.69,14807.69,46666.67,0
52,Dolpa,2,1,1,1,15,9,18,15,15,15,15,5080,5080,5080,5080,5280,5386,5386,5640,5640,9225,9302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2,2,2,1,19,19,25,19,19,19,19,640,640,640,640,640,646,646,646,925,925,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,Dolpa,1000,500,500,500,789.47,473.68,720,789.47,789.47,789.47,789.47,7937.5,7937.5,7937.5,7937.5,8250,8337.46,8337.46,8730.65,9972.97,9972.97,9980.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Mugu,13,13,13,13,14,16,18,20,16,16,29.16,4100,4100,4550,4141,4840,6152.85,6152.85,6153,6110,6187,6163,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,30,53,27,27,27,13,24,30,25,31,26,26,38.25,605,605,605,585,585,605,605,605,610,617,625,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,53,Mugu,481.48,481.48,481.48,481.48,583.33,533.33,720,645.16,615.38,615.38,762.35,6776.86,6776.86,7520.66,7078.63,8273.5,10170,10170,10170.25,10016.39,10027.55,9860.8,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,30000
54,Jumla,100,100,95,95,95,95,66,68,68,85,90,18100,18000,19010,19010,19010,18887,20800,26800,26150,26150,28150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,130,130,130,95,130,130,92,85,85,85,90,2165,2170,2200,2200,2200,2222,2600,2600,2615,2615,2615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,Jumla,769.23,769.23,730.77,730.77,730.77,730.77,717.39,800,800,1000,1000,8360.28,8294.93,8640.91,8640.91,8640.91,8500,8000,10307.69,10000,10000,10764.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Kalikot,40,40,40,42,77,70,78,103,103,93,54.78,7000,7000,7100,7500,11105,11385,11385,10385,6127.5,11756.25,11756.25,0,0,0,0,0,0,0,127,14,14,0,0,0,0,0,0,0,0,37,0,0,0,55,60,60,60,42,183,182,183,191,191,191,113,730,730,750,840,1035,1035,1035,1035,525,1045,1045,0,0,0,0,0,0,0,144,15,15,0,0,0,0,0,0,0,0,1,0,0,0,55,Kalikot,666.67,666.67,666.67,512.2,420.77,384.62,426.23,539.27,539.27,486.91,484.78,9589.04,9589.04,9466.67,8928.57,10729.47,11000,11000,10033.82,11671.43,11250,11250,0,0,0,0,0,0,0,881.94,933.33,933.33,0,0,0,0,0,0,0,0,37000,0,0,0
56,Humla,27,27,27,27,41,21,11,16,16,16,39,4890,4890,4890,4890,4890,6640,7566,7566,6825,6825,6825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,50,50,50,27,58,58,25,24,24,24,72,580,580,580,580,580,664,670,670,700,700,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,Humla,540,540,540,540,706.9,362.07,440,666.67,666.67,666.67,541.67,8431.03,8431.03,8431.03,8431.03,8431.03,10000,11292.54,11292.54,9750,9750,9750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Rukum,441,441,441,425,425,425,644,643,643,644,723.2,14841,14800,16800,16800,17360,17920,18457,18457,20431,23539.5,20950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,150,30,57,572,790,790,425,580,580,710,770,770,770,798,1565,1530,1530,1530,1600,1600,1605,1605,1655,2180,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,57,Rukum,770.98,558.23,558.23,732.76,732.76,732.76,907.04,835.06,835.06,836.36,906.27,9483.07,9673.2,10980.39,10980.39,16110,11200,11499.69,11499.69,12345.02,10797.94,12251.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,20000,30000,15000
58,Rolpa,70,70,70,60,60,102,259,271,271,271,278.5,12800,12800,16500,13515,15515,21360,20670,20670,19929,19930,22930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,300,520,0,58,110,110,110,60,115,118,305,332,332,332,337.5,1470,1501,1501,1500,1500,1780,1782,1782,1797,1797,1797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,0,58,Rolpa,636.36,636.36,636.36,521.74,521.74,864.41,849.18,816.27,816.27,816.27,825.19,8707.48,8527.65,10992.67,9010,10343.33,12000,11599.33,11599.33,11090.15,11090.71,12760.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15533.33,20000,34666.67,0
59,Pyuthan,650,450,450,428,575,670,720,1029,1127,861,1075.5,7700,8692,8692,7114,8500,12000,12130,12130,13395,12309,14691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,495,695,0,59,655,655,655,428,690,690,735,801,953,799,830,840,820,820,750,750,830,880,880,890,890,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,0,59,Pyuthan,992.37,687.02,687.02,620.29,833.33,971.01,979.59,1284.64,1182.58,1077.6,1295.78,9166.67,10600,10600,9485.33,11333.33,14457.83,13784.09,13784.09,15050.56,13830.34,16432.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14090.91,22500,31590.91,0
60,Dang,10545,10545,10100,11190,11890,11970,12976,14754,17025.1,17930,19020,20961,20961,24375,21000,26826,26826,26230,30500,28500,25864,28500,4,4,4,4,4,4,3.9,0,6,0,0,13500,13500,13500,13500,13500,13000,14314.3,480,1000,975,26400,60,18500,15050,15050,11190,18510,18515,19015,19518,19515,19648,18828,1950,2000,1950,2000,2110,2152,2150,2160,2200,2120,2120,5,5,5,5,5,5,4.85,0,10,0,0,300,300,300,300,300,300,314.97,40,40,25,2200,60,Dang,570,700.66,671.1,604.86,642.36,646.5,682.41,755.92,872.41,912.56,1010.2,10749.23,10480.5,12500,10500,12713.74,12465.61,12200,14120.37,12954.55,12200,13443.4,800,800,800,800,800,800,805.78,0,0,0,0,45000,45000,45000,45000,45000,43333.33,45446.55,12000,25000,39000,12000
61,Salyan,660,600,600,600,700,579,678,822,832,884,1021.22,8500,8534,12534,16875,18475,14206.5,7180,7600,8910,9638.5,11685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,350,470,0,61,655,710,710,600,785,850,1025,1085,1092,1092,1169,990,1180,1180,1350,1405,1435,730,730,860,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,0,61,Salyan,1007.63,845.07,845.07,845.07,891.72,681.18,661.46,757.6,761.9,809.52,873.58,8585.86,7232.2,10622.03,12500,13149.47,9900,9835.62,10410.96,10360.47,9638.5,11685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16583.33,29166.67,39166.67,0
62,Jajarkot,270,232,232,232,250,250,534,585,769.4,719,907.5,5210,5565,6562,5540,7630,5306,6581.25,6590,9211,9211,7116,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,188,250,250,19.5,62,280,285,285,232,295,295,1033,1069,1167,1167,1200,610,615,615,615,650,615,675,675,625,625,663,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,10,10,3,62,Jajarkot,964.29,814.04,814.04,814.04,847.46,847.46,516.94,547.24,659.3,616.11,756.25,8540.98,9048.78,10669.92,9008.13,11738.46,8627.64,9750,9762.96,14737.6,14737.6,10733.03,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,18800,25000,25000,6500
63,Dailekh,684,600,600,579,406,300,723,744,744,648,748,4070,4070,5320,5890,7890,23017,24313,24313,20320,19724,22724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,750,900,0,63,695,695,695,579,700,763,804,804,804,804,806,515,522,522,588,588,1585,1625,1625,1600,1600,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,21,0,63,Dailekh,984.17,863.31,863.31,825.96,580,393.18,899.25,925.37,925.37,805.97,928.04,7902.91,7796.93,10191.57,10017.01,13418.37,14521.77,14961.85,14961.85,12700,12327.5,14202.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11800,30000,42857.14,0
64,Surkhet,2516,2516,2500,2905,2771,3550,3808,3808,3375,3127,3803.85,9681,9681,12225,11153,10929,17713,19359,19359,22502,22502,22502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,725,930,0,64,3400,3400,3400,2905,3725,3950,4200,4200,4071,4064,4255,859,1026,1015,750,752,1072,1095,1095,1177,1177,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35,0,64,Surkhet,740,740,735.29,779.87,743.89,898.73,906.67,906.67,829.03,769.44,893.97,11270.08,9435.67,12044.33,14870.67,14533.24,16523.32,17679.45,17679.45,19118.1,19118.1,19118.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11200,20714.29,26571.43,0
65,Banke,5271,3271,3050,3848,3908,3560,7505,8449,9176.5,10915,12305,22235,18500,23700,24050,31150,32409,30125,30125,35380,35380,35380,40,40,40,40,40,35,34.16,0,0,0,0,0,1500,1500,1500,1500,1600,1761.76,1295,2220,2736,2166,65,8368,4900,4900,3848,6450,6500,9089,9433,10212,12758,9916,1950,1950,2134,2351,2351,2398,2410,2400,2365,2365,2365,50,50,50,50,50,45,43.61,0,0,0,0,0,50,50,50,50,50,52.5,35,55,57,57,65,Banke,629.9,667.55,622.45,599.94,605.89,547.69,825.72,895.69,898.6,855.54,1240.92,11402.56,9487.18,11105.9,10229.69,13249.68,13515.01,12500,12552.08,14959.83,14959.83,14959.83,800,800,800,800,800,777.78,783.4,0,0,0,0,0,30000,30000,30000,30000,32000,33560.53,37000,40363.64,48000,38000
66,Bardiya,7305,7305,7200,8326,8900,9055,9295,8068,9380,9569,10454.05,18498,18498,25250,25400,45175,47001,47066.21,47066,56000,58000,56300,25,25,25,25,25,25,24.4,0,0,0,0,78994,78994,81600,81600,81600,68170,75061.99,5250,10250,12000,6150,66,9500,9850,9850,8326,9050,9100,9300,10075,10375,10595,10700,1850,1900,2000,2165,2550,2601,2603,2604,4000,4000,4100,30,30,30,30,30,30,29.07,0,0,0,0,2450,2450,2400,2400,2400,2065,2168.04,250,250,250,300,66,Bardiya,768.95,741.62,730.96,920,983.43,995.05,999.46,800.79,904.1,903.16,977.01,9998.92,9735.79,12625,11732.1,17715.69,18070.36,18081.53,18074.5,14000,14500,13731.71,833.33,833.33,833.33,833.33,833.33,833.33,839.35,0,0,0,0,32242.45,32242.45,34000,34000,34000,33012.11,34621.99,21000,41000,48000,20500
67,Bajura,189,90,200,200,200,77,184.1,193,245,248,252.9,4328,4130,4130,4130,4130,4171,7050,7050,7050,7050,7250,0,0,0,0,0,0,0,0,6,6,50,138,138,1962,1962,1962,710,781.78,3102,4000,3500,220,67,332,150,333,200,333,338,323,338,435,437,447,541,500,500,500,500,500,725,725,725,725,725,0,0,0,0,0,0,0,0,5,5,5,10,10,140,140,140,40,42,141,141,114,10,67,Bajura,569.28,600,600.6,600.6,600.6,227.81,569.97,571.01,563.22,567.51,565.77,8000,8260,8260,8260,8260,8342,9724.14,9724.14,9724.14,9724.14,10000,0,0,0,0,0,0,0,0,1200,1200,10000,13800,13800,14014.29,14014.29,14014.29,17750,18615.61,22000,28368.79,30701.75,22000
68,Achham,315,109,109,109,109,109,1162,1129,1129,993,1207.84,6160,4484,4484,4484,4484,5878,5620,6300,3980,3600,3729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,68,330,226,226,109,226,226,1276,1276,1276,1260,1287,660,425,425,425,425,513,520,550,400,400,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,68,Achham,954.55,482.3,482.3,482.3,482.3,482.3,910.66,884.8,884.8,788.1,938.49,9333.33,10550.59,10550.59,10550.59,10550.59,11458.09,10807.69,11454.55,9950,9000,9184.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0,0
69,Bajhang,170,72,72,54,54,24,48,48,224,224,98,6660,6205,7200,7200,7200,7272,9789,9789,9682,9682,11682,0,0,0,0,0,0,0,0,0,0,0,500,500,500,450,450,450,495.5,122,380,385,16320,69,240,200,200,54,120,120,150,150,250,250,170,930,940,940,940,940,950,955,955,1030,1030,1030,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,31.5,11,15,15,240,69,Bajhang,708.33,360,360,450,450,200,320,320,896,896,576.47,7161.29,6601.06,7659.57,7659.57,7659.57,7654.74,10250.26,10250.26,9400,9400,11341.75,0,0,0,0,0,0,0,0,0,0,0,16666.67,16666.67,16666.67,15000,15000,15000,15731.5,11090.91,25333.33,25666.67,68000
70,Doti,412,300,400,365,365,403,753,534,590,705,746,6720,8700,10500,12700,12700,11418,11840,11840,11840,32550,37950,0,0,0,0,0,0,0,0,0,1,0,217,217,540,290,290,290,319.32,420,525,516,0,70,512,500,500,365,505,500,830,658,693,819,758,860,970,1050,1125,1125,1095,1150,1140,2400,2400,2850,0,0,0,0,0,0,0,0,0,2,0,15,15,15,14,14,14,14.7,12,15,15,0,70,Doti,804.69,600,800,722.77,722.77,806,907.23,811.55,851.37,860.81,984.17,7813.95,8969.07,10000,11288.89,11288.89,10427.4,10295.65,10385.96,13562.5,13562.5,13315.79,0,0,0,0,0,0,0,0,0,500,0,14466.67,14466.67,36000,20714.29,20714.29,20714.29,21724.45,35000,35000,34400,0
71,Kailali,14443,16958,14900,14200,14200,14385,14000,14745,16745,18734,15118.65,25740,33000,35900,36500,39445,108000,108000,95000,75000,89600,99600,0,10,10,10,10,10,9.76,9.76,0,0,0,132160,132000,132000,132000,122000,90526,8225,9225,9225,9835,9835,71,23175,22695,20150,14200,20000,20450,20000,21100,21100,21345,22005,2325,2500,2500,2900,2545,6000,6000,5800,5000,6200,6200,0,15,15,15,15,15,14.54,14.54,0,0,0,2800,2800,2810,2810,2750,2350,205,205,205,235,235,71,Kailali,623.21,747.21,739.45,704.71,710,703.42,700,698.82,793.6,877.68,687.06,11070.97,13200,14360,12586.21,15499.02,18000,18000,16379.31,15000,14451.61,16064.52,0,666.67,666.67,666.67,666.67,666.67,671.48,671.48,0,0,0,47200,47142.86,46975.09,46975.09,44363.64,38521.7,40400.27,45000,45000,41851.06,41851
72,Darchula,84,84,84,65,65,67,55.6,112,112,112,112,7038,7000,7300,6850,6850,9216,9216,9216,9215,7800,7800,0,0,0,0,0,0,0,0,0,0,0,650,650,650,495,495,495,545.04,992,992,1203,0,72,150,150,150,65,126,154,140,140,140,140,140,940,940,940,865,865,716,716,716,716,600,600,0,0,0,0,0,0,0,0,0,0,0,50,50,50,32,32,32,33.6,31,31,30,0,72,Darchula,560,560,560,515.87,515.87,435.06,397.14,800,800,800,800,7487.23,7446.81,7765.96,7919.08,7919.08,12871.51,12871.51,12871.51,12870.11,13000,13000,0,0,0,0,0,0,0,0,0,0,0,13000,13000,13000,15468.75,15468.75,15468.75,16223.11,32000,32000,40100,0
73,Baitadi,150,175,175,175,175,170,102,142,250,187,350.5,5300,5540,6840,6840,6840,7975,9130,9130,16441,10350,10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,11850,6405,4800,73,250,250,250,175,250,250,255,290,335,335,555,625,640,640,640,640,725,830,830,680,830,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,250,300,73,Baitadi,600,700,700,700,700,680,400,489.66,746.27,558.21,631.53,8480,8656.25,10687.5,10687.5,10687.5,11000,11000,11000,11000,12469.88,12469.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,16000,25620,16000
74,Dadeldhura,380,337,337,337,353,250,255.95,350,395,350,500,4344,4250,4450,4300,6630,1800,4700,5300,11750,12880,11005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,74,500,600,600,337,505,500,501,507,507,507,500,428,425,425,425,442,442,450,450,800,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,74,Dadeldhura,760,561.67,561.67,561.67,699.01,500,510.88,690.34,779.09,690.34,1000,10149.53,10000,10470.59,10117.65,15000,4072.4,10444.44,11777.78,14687.5,16100,13756.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000,0,0,0
75,Kanchanpur,5440,5789,5580,4770.5,4770.5,4412,5225,5102,5192,5183,6741,16445,17400,18400,18500,18500,19565,19565,19565,19750,25440,27555,0,0,0,0,0,0,0,0,0,0,0,145817,142800,143000,165575,155575,139100,153163.01,92720,99000,139300,225000,75,6800,7270,7270,4770.5,6815,6532,6532,6342,6342,6345,6935,1430,1450,1450,1515,1515,1445,1445,1445,1476,1590,1670,0,0,0,0,0,0,0,0,0,0,0,3441,3400,3400,3880,3760,3412,3582.26,2440,2440,3095,5000,75,Kanchanpur,800,796.29,767.54,700,700,675.44,799.91,804.48,818.67,816.86,972.03,11500,12000,12689.66,12211.22,12211.22,13539.79,13539.79,13539.79,13380.76,16000,16500,0,0,0,0,0,0,0,0,0,0,0,42376.34,42000,42058.82,42673.97,41376.33,40767.88,42755.99,38000,40573.77,45008.08,45000
